rank,outlet_id,name,type,R,S,D,I_mean_item,best_item_I,confidence,n_items,n_scored,r_people,reach_raw,reach_unit,reach_flag,reach_source,reach_source_url,reach_date,r_basis,url
46,bloomberg,Bloomberg,print_digital,0.00008597,0.138813,0.266667,0.00000310,0.00000479,high,8,8,22525.000000,18020000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/bloomberg.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.bloomberg.com/
47,slate,Slate,print_digital,0.00004308,0.121313,0.545833,0.00000282,0.00000381,high,8,8,11287.500000,9030000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/slate.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://slate.com/
48,time,Time,print_digital,0.00005878,0.080625,0.562500,0.00000260,0.00000376,high,8,8,15400.000000,12320000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/time.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://time.com/
49,stephen_a_smith_show,The Stephen A. Smith Show,podcast,0.00106870,0.070000,0.033333,0.00000249,0.00000249,low,1,1,280000.000000,1400000.000000,youtube_subscribers,ok,YouTube channel page (public count),https://www.youtube.com/channel/UC2OREBiIbDChxvmDeg30Bsg/about,2026-09-03,subscribers x PODCAST_EPISODE_VIEW_RATE x (1 + PODCAST_AUDIO_MULTIPLE) (UNADJUSTED: no public country split for this platform),https://stephenasmith.com/
50,epoch_times,The Epoch Times,print_digital,0.00003850,0.130938,0.450000,0.00000221,0.00000379,high,8,8,10087.500000,8070000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/theepochtimes.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.theepochtimes.com/
51,new_yorker,The New Yorker,print_digital,0.00003922,0.087063,0.629167,0.00000217,0.00000324,high,8,8,10275.000000,8220000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/newyorker.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.newyorker.com/
52,daily_kos,Daily Kos,print_digital,0.00002047,0.136188,0.495833,0.00000139,0.00000222,high,8,8,5362.500000,4290000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/dailykos.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.dailykos.com/
53,daily_wire,The Daily Wire,print_digital,0.00001703,0.118875,0.495833,0.00000100,0.00000156,high,8,8,4462.500000,3570000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/dailywire.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.dailywire.com/
54,propublica,ProPublica,print_digital,0.00001283,0.090313,0.620833,0.00000073,0.00000105,high,8,8,3362.500000,2690000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/propublica.org/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.propublica.org/
55,vox,Vox,print_digital,0.00001312,0.098812,0.550000,0.00000071,0.00000113,high,8,8,3437.500000,2750000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/vox.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.vox.com/
56,salon,Salon,print_digital,0.00001403,0.096125,0.512500,0.00000070,0.00000134,high,8,8,3675.000000,2940000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/salon.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.salon.com/
57,washington_examiner,Washington Examiner,print_digital,0.00000868,0.135563,0.466667,0.00000055,0.00000085,high,8,8,2275.000000,1820000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/washingtonexaminer.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.washingtonexaminer.com/
58,theblaze,TheBlaze,print_digital,0.00001174,0.085313,0.504167,0.00000050,0.00000129,high,8,8,3075.000000,2460000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/theblaze.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.theblaze.com/
59,jacobin,Jacobin,print_digital,0.00000544,0.147250,0.591667,0.00000048,0.00000067,high,8,8,1425.000000,1140000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/jacobin.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://jacobin.com/
60,reason,Reason,print_digital,0.00000711,0.121938,0.537500,0.00000046,0.00000077,high,8,8,1862.500000,1490000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/reason.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://reason.com/
61,realclearpolitics,RealClearPolitics,print_digital,0.00002204,0.096500,0.233333,0.00000045,0.00000080,high,8,8,5775.000000,4620000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/realclearpolitics.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.realclearpolitics.com/
62,free_press,The Free Press,print_digital,0.00000835,0.101438,0.504167,0.00000045,0.00000104,high,8,8,2187.500000,1750000.000000,monthly_visits_semrush,ok,Semrush website overview (US visits),https://www.semrush.com/website/thefp.com/overview/,2026-07,monthly visits / DIGITAL_ITEMS_PER_MONTH (already US-only (Semrush country split)); a visit is not a read,https://www.thefp.com/
63,daily_caller,The Daily Caller,print_digital,0.00000897,0.088375,0.454167,0.00000035,0.00000072,high,8,8,2350.000000,1880000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/dailycaller.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://dailycaller.com/
64,mother_jones,Mother Jones,print_digital,0.00000582,0.108000,0.558333,0.00000035,0.00000046,high,8,8,1525.000000,1220000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/motherjones.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.motherjones.com/
65,federalist,The Federalist,print_digital,0.00000525,0.118563,0.520833,0.00000033,0.00000073,high,8,8,1375.000000,1100000.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/thefederalist.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://thefederalist.com/
66,the_nation,The Nation,print_digital,0.00000409,0.102750,0.604167,0.00000026,0.00000040,high,8,8,1071.612500,857290.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/thenation.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.thenation.com/
67,daily_signal,The Daily Signal,print_digital,0.00000460,0.111063,0.458333,0.00000023,0.00000038,high,8,8,1206.062500,964850.000000,monthly_visits_semrush,scope_global,"Semrush website overview (worldwide visits, no US split published)",https://www.semrush.com/website/dailysignal.com/overview/,2026-06,"monthly visits / DIGITAL_ITEMS_PER_MONTH (UNADJUSTED: worldwide visits, no US split published); a visit is not a read",https://www.dailysignal.com/
,newsmax,Newsmax,cable,0.00048092,,,,,low,0,0,126000.000000,126000.000000,avg_total_day_viewers,ok,Nielsen via MediaPost (July 2026 monthly),https://www.mediapost.com/publications/article/416906/ms-now-cnn-newsnation-viewing-up-in-july.html,2026-07,programme average viewers x TV_SEGMENT_SHARE (US-only by construction),https://www.newsmax.com
